code,name,position,total_cards,total_unique,available
core-set,Core Set,1,,131,2009-09-01
the-skavenblight-threat,The Skavenblight Threat,2,,20,2009-11-01
path-of-the-zealot,Path of the Zealot,3,40,20,2009-12-01
tooth-and-claw,Tooth and Claw,4,40,20,2010-02-01
assault-on-ulthuan,Assault on Ulthuan,5,,58,2010-03-01
the-deathmaster-s-dance,The Deathmaster's Dance,6,40,20,2010-03-01
warpstone-chronicles,Warpstone Chronicles,7,40,20,2010-04-01
arcane-fire,Arcane Fire,8,40,20,2010-05-01
the-burning-of-derricksburg,The Burning of Derricksburg,9,,20,2010-06-01
the-fall-of-karak-grimaz,The Fall of Karak Grimaz,10,60,20,2010-07-01
the-silent-forge,The Silent Forge,11,60,20,2010-09-01
redemption-of-a-mage,Redemption of a Mage,12,60,20,2010-10-01
march-of-the-damned,March of the Damned,13,165,55,2010-10-01
the-fourth-waystone,The Fourth Waystone,14,60,20,2010-11-01
bleeding-sun,Bleeding Sun,15,60,20,2010-12-01
omens-of-ruin,Omens of Ruin,16,60,20,2011-03-01
chaos-moon,Chaos Moon,17,60,20,2011-03-01
the-twin-tailed-comet,The Twin Tailed Comet,18,60,20,2011-04-01
signs-in-the-stars,Signs in the Stars,19,60,20,2011-06-01
legends,Legends,20,165,55,2011-06-01
the-eclipse-of-hope,The Eclipse of Hope,21,60,20,2011-07-01
fiery-dawn,Fiery Dawn,22,60,20,2011-08-01
the-inevitable-city,The Inevitable City,23,60,20,2011-09-01
realm-of-the-phoenix-king,Realm of the Phoenix King,24,60,20,2011-11-01
the-iron-rock,The Iron Rock,25,60,20,2011-11-01
karaz-a-karak,Karaz a Karak,26,60,20,2011-12-01
city-of-winter,City of Winter,27,60,20,2012-01-01
the-imperial-throne,The Imperial Throne,28,60,20,2012-02-01
rising-dawn,Rising Dawn,29,60,20,2012-04-01
fragments-of-power,Fragments of Power,30,60,20,2012-06-01
the-accursed-dead,The Accursed Dead,31,60,20,2012-06-01
vessel-of-the-winds,Vessel of the Winds,32,60,20,2012-08-01
portent-of-doom,Portent of Doom,33,60,20,2012-09-01
shield-of-the-gods,Shield of the Gods,34,60,20,2012-10-01
days-of-blood,Days of Blood,35,60,20,2012-11-01
oaths-of-vengeance,Oaths of Vengeance,36,60,20,2012-12-01
battle-for-the-old-world,Battle for the Old World,37,60,20,2013-01-01
glory-of-days-past,Glory of Days Past,38,60,20,2013-02-01
the-ruinous-hordes,The Ruinous Hordes,39,60,20,2013-03-01
faith-and-steel,Faith and Steel,40,60,20,2013-04-01
cataclysm,Cataclysm,41,,59,2013-07-09
hidden-kingdoms,Hidden Kingdoms,42,,55,2013-11-26
